okinamo,40,3,15540,92241,60166171188,98.93,101720,3.59E+11,25985008,8326
DanyL,32,3,16022,105951,44222727762,98.69,138882,3.73E+11,29110244,4174
azr8,47,1,15382,76505,26987907466,99.17,93998,1.74E+11,22160432,4911
xootynator,42,3,15486,74001,61524010601,99.2,69524,3.21E+11,21403478,8157
_man,41,10,15507,162882,68328071511,98.83,164285,6.03E+11,55053887,8343
Vinno,45,2,15427,102456,52345898864,98.64,115280,4.28E+11,29078894,6411
Ralidea,44,4,15442,82655,6791617452,99.41,135301,1.27E+11,19923293,2337
Zeisen-,50,2,15304,111668,55135448800,98.38,123376,3.47E+11,29839649,7752
Bubbleman,43,3,15483,121266,94676584234,98.74,124957,4.28E+11,35146607,9382
Bartek22830,46,3,15383,152710,63244607073,98.46,186680,3.86E+11,38080377,8049
